item_id,year,case_number,status,top_severity,checks,source_file,detail
147,1998,97.645,done,high,action_mismatch,raw/1998/min0398-documentid=4751.htm,action_mismatch:label action='public hearing closed. intent to disapprove. final language 3/26/98' vs source='disapproved'
149,1998,97.526D,done,high,action_mismatch,raw/1998/min0398-documentid=4751.htm,action_mismatch:label action='took_dr_and_approved' vs source='continued'
275,1998,98.229D,done,high,"action_mismatch,ayes_missing,vote_missing",raw/1998/min0598-documentid=4759.htm,action_mismatch:label action='withdrawn' vs source='approved'; ayes_missing:block has an AYES: line; vote_missing:no vote/ayes but block has AYES:
896,1999,98.153D,done,high,action_mismatch,raw/1999/min0499-documentid=4757.htm,action_mismatch:label action='took_dr_and_approved' vs source='approved_with_conditions'
2683,2001,2001.0522C,done,high,"action_other,vote_tally_mismatch",raw/2001/index.aspx-page=1133,action_other:action='other'; source ACTION→'approved'; vote_tally_mismatch:tally 7-0 vs ayes/noes 7/1
890,1999,98.967C,done,med,vote_tally_mismatch,raw/1999/min0499-documentid=4757.htm,vote_tally_mismatch:tally 7-0 vs ayes/noes 7/1
1362,2000,1999.689CR,done,med,vote_tally_mismatch,raw/2000/mn200001-documentid=4801.htm,vote_tally_mismatch:tally 7-0 vs ayes/noes 6/1
1612,2000,1999.668B,done,med,vote_tally_mismatch,raw/2000/mn200007-documentid=4811.htm,vote_tally_mismatch:tally 6-0 vs ayes/noes 6/1
1614,2000,1999.817C,done,med,vote_tally_mismatch,raw/2000/mn200007-documentid=4811.htm,vote_tally_mismatch:tally 6-0 vs ayes/noes 6/1
1748,2000,2000.009E,done,med,vote_tally_mismatch,raw/2000/mn200009-documentid=4815.htm,vote_tally_mismatch:tally 7-0 vs ayes/noes 6/0
1781,2000,2000.292C,done,med,vote_tally_mismatch,raw/2000/mn200009-documentid=4815.htm,vote_tally_mismatch:tally 6-0 vs ayes/noes 5/0
2679,2001,2001.0540C,done,med,vote_tally_mismatch,raw/2001/index.aspx-page=1133,vote_tally_mismatch:tally 7-0 vs ayes/noes 7/1
2680,2001,2001.0700C,done,med,vote_tally_mismatch,raw/2001/index.aspx-page=1133,vote_tally_mismatch:tally 7-0 vs ayes/noes 7/1
2684,2001,2001.0667C,done,med,vote_tally_mismatch,raw/2001/index.aspx-page=1133,vote_tally_mismatch:tally 7-0 vs ayes/noes 7/1
