claim_id,object,field,value,unit,tenure,tier,area,applies_from,applies_to,source_url,quote,note
inc2002_apply,inclusionary,applies to applications filed on or after,2001-06-18,,,,citywide,2001-06-18,,https://sfbos.archive.sf.gov/ftp/uploadedfiles/bdsupvrs/ordinances02/o0037-02.pdf,"on or after June 18, 2001 for housing projects which","Section 315.3(a)(1)-(3): building, site, CU and PUD applications filed on or after this date."
inc2002_threshold,inclusionary,unit threshold,10,units,,,citywide,,,https://sfbos.archive.sf.gov/ftp/uploadedfiles/bdsupvrs/ordinances02/o0037-02.pdf,consist often or more units; and do not require,"OCR reads ""of ten"" as ""often""."
inc2002_onsite_10,inclusionary,"on-site share, no CU/PUD",10,% of units,,10+,citywide,2001-06-18,,https://sfbos.archive.sf.gov/ftp/uploadedfiles/bdsupvrs/ordinances02/o0037-02.pdf,"315.3(a)(1), as a condition ofPlanning Department approval ofa project's building pennit, that 10%",
inc2002_onsite_12,inclusionary,"on-site share, CU/PUD/live-work",12,% of units,,10+,citywide,2001-06-18,,https://sfbos.archive.sf.gov/ftp/uploadedfiles/bdsupvrs/ordinances02/o0037-02.pdf,live/work project that 12 12% ofall units constructed on the project site,The line number 12 precedes the figure in the text layer.
inc2002_offsite_15,inclusionary,"off-site share, no CU/PUD",15,% of units,,10+,citywide,2001-06-18,,https://sfbos.archive.sf.gov/ftp/uploadedfiles/bdsupvrs/ordinances02/o0037-02.pdf,"For projects described in 315.3(a)(1), 15% as follows",
inc2002_offsite_17,inclusionary,"off-site share, CU/PUD/live-work",17,% of units,,10+,citywide,2001-06-18,,https://sfbos.archive.sf.gov/ftp/uploadedfiles/bdsupvrs/ordinances02/o0037-02.pdf,"For projects described in 315.3(a)(2),(3), and (4),170/0 as follows","OCR reads ""17%"" as ""170/0""; the page shows 17%."
inc2002_fee_basis,inclusionary,in-lieu fee basis,off-site unit count x affordability gap,,,,citywide,,,https://sfbos.archive.sf.gov/ftp/uploadedfiles/bdsupvrs/ordinances02/o0037-02.pdf,The number ofunits required bv Section 315.5 ifthe project applicant were to elect to 8 meet the requirements ofthis section bv off-site housing development,Section 315.6(b)(1); (b)(2) is the affordability gap from the 1997 Jobs Housing Nexus Analysis.
inc2002_transition,inclusionary,"transitional on-site share, first 180 days, no CU/PUD",5,% of units,,,citywide,,,https://sfbos.archive.sf.gov/ftp/uploadedfiles/bdsupvrs/ordinances02/o0037-02.pdf,from the effective date ofthis legislation and 180 days thereafter shall be 5%,
inc2002_effective,inclusionary,program effective date,2002-04-05,,,,citywide,,,https://sfbos.archive.sf.gov/ftp/uploadedfiles/bdsupvrs/ordinances13/o0062-13.pdf,"(b) The effective date of these requirements shall be either April 5, 2002, which is the",Stated by the 2013 ordinance (62-13) in Section 415.3(b).
inc2006_5to9,inclusionary,threshold lowered to 5 units for first applications on or after,2006-07-18,,,5-9,citywide,2006-07-18,,https://sfbos.archive.sf.gov/ftp/uploadedfiles/bdsupvrs/ordinances06/o0213-06.pdf,"first application, including an environmental evaluation application or any other Planning 17 Department application on or after July 18, 2006",
