id,name,flag,reason
2y4g-3ig2,Map of Curb Ramps,not relevant,A map view; the dataset it draws carries the data.
33jz-gqck,Map of Privately Owned Public Open Spaces,not relevant,A map view; the dataset it draws carries the data.
3had-h899,Child Abuse Prevention Services in San Francisco,not relevant,Matches the word 'planning' in its text; nothing to do with land-use regulation.
3i4a-hu95,Zoning Map - Zoning Districts,possibly useful,A newer publication of the current zoning layer (updated at retrieval; the cached xzez-p3nc was last updated 2024-02-23) --- the panel's carried-forward snapshot should be checked against it.
3keh-kpm9,San Francisco Aerial Photos (1938-2022),not relevant,"Aerial photographs; imagery, not data."
3tsw-4idn,Historic Resource Status by Parcel,possibly useful,Historic status by parcel or district: a regulatory constraint that triggers review.
3vv2-nvev,Map of slopes of 20% or greater,not relevant,A map view; the dataset it draws carries the data.
3yi7-eyfd,Historic Zoning Districts - 2002,core,A parcel-keyed zoning vintage; one year of the zoning panel.
42ay-783m,View of Medical and Dental Enrollment by Union for City & County of SF Employees(CCSF),not relevant,Matches the word 'planning' in its text; nothing to do with land-use regulation.
43um-8u7u,Historic Context Statements,possibly useful,Parcels covered by adopted historic context statements: a review trigger by parcel.
4g86-grxu,Sidewalk Widths (2014),not relevant,A transportation dataset; the word 'planning' appears in its text.
4hx7-bwhg,Zoning Map - Special Sign Districts - Scenic Streets,not relevant,A map view; the dataset it draws carries the data.
4jpb-z4kk,"Building Permits before January 1, 2013",not relevant,"A date-filtered view of DBI's permits, which are cached whole."
4n3c-huha,Zoning Map - Special Sign Districts - Scenic Streets,not relevant,"Sign districts: they govern signs, which the development universe excludes."
4ua7-5sfx,Existing Buildings - Benchmark Reports,not relevant,An energy or emissions dataset for existing buildings.
4x4u-9ser,Neighborhood-Specific Impact Fee Areas,not relevant,A map view; the dataset it draws carries the data.
4yr8-u35c,National Register Historic Districts,possibly useful,A historic designation that brings a project before a commission; overlaps the parcel-keyed historic status already listed.
4yy5-v29h,Map of Issued and Reinstated Building Permits,not relevant,A map view; the dataset it draws carries the data.
55pv-5zcc,Map of SF Urban Tree Canopy,not relevant,A map view; the dataset it draws carries the data.
5bat-azvb,Building Permit Application Review Metrics,possibly useful,DBI's own filing-to-issuance and review-step metrics by permit; a check on the permit clock.
5kya-mfst,Tall Building Inventory,not relevant,An inventory of 180 tall buildings for seismic performance.
5uzm-v8n8,Historic Zoning Districts - March 2005,not relevant,Same row count as a cached vintage of the same year; appears to be a duplicate publication.
5wa2-2y3e,Map of Mid-Block Traffic Calming Areas,not relevant,A map view; the dataset it draws carries the data.
5wbp-dwzt,Utility Excavation Moratorium Streets,not relevant,A Public Works street or right-of-way dataset; not a land-use decision.
5xmc-5bjj,Cultural Districts,possibly useful,Cultural districts: a geography used in land-use controls since 2018.
5yf5-ms5f,Zoning Map - Special Use Districts,possibly useful,A newer publication of the special-use district layer than the cached rxfc-8aap.
63x5-g3m4,Historic Districts,possibly useful,Historic status by parcel or district: a regulatory constraint that triggers review.
65ik-7wqd,Privately Owned Public Open Spaces,possibly useful,"An obligation commonly imposed as a condition (open space, public art): a cross-check on condition content."
667d-aah6,Invest in Neighborhood Areas,not relevant,A 2016 list of commercial-corridor investment areas.
6a3d-758c,Historic Special Use Districts - 2010,possibly useful,A dated special-use district vintage; the zoning panel carries only the current SUD layer.
6ann-usi8,100-year storm + 66 inches Sea Level Rise,possibly useful,A physical-hazard zone: a construction-cost shifter; check against demand_estimation's hazard layers first.
6dn4-si7z,NeighborhoodQuadrants,possibly useful,"A Planning Department administrative geography (district, area, team boundary), useful only as a grouping."
6dpt-7w23,San Francisco Citywide Performance Metrics,not relevant,Matches the word 'planning' in its text; nothing to do with land-use regulation.
6h9b-eksg,Historic Height & Bulk Districts - 2014,not relevant,A map view; the dataset it draws carries the data.
6jb9-g73z,Historic Zoning Districts - 2013,core,"A polygon zoning vintage, joined spatially into the zoning panel."
6jgi-cpb4,San Francisco Development Pipeline,core,"Project scale for built or pipeline projects, reached through the case stem."
6m3x-8fu4,Article 11 Ratings,possibly useful,Historic status by parcel or district: a regulatory constraint that triggers review.
6ru7-zq4y,Historic Zoning Districts - 2003,core,A parcel-keyed zoning vintage; one year of the zoning panel.
7br7-cj6v,City Employment Classification Definitions,not relevant,Matches the word 'planning' in its text; nothing to do with land-use regulation.
7crf-46s6,Dam or Reservoir Failure Hazard Zone,possibly useful,A physical-hazard zone: a construction-cost shifter; check against demand_estimation's hazard layers first.
7d7s-7cc6,Downtown Plan Monitoring Report 2012,possibly useful,Downtown Plan monitoring: office-space totals behind the office-allocation docket.
7p2k-c3z6,Tsunami Inundation Hazard Zone (2021 Update),possibly useful,A physical-hazard zone: a construction-cost shifter; check against demand_estimation's hazard layers first.
7way-43xh,Housing Sustainability Districts,possibly useful,"Housing Sustainability Districts: by-right approval geography, the ministerial counterfactual."
84zg-myyk,Retiree Pensions Annual Benefit Received,not relevant,Matches the word 'planning' in its text; nothing to do with land-use regulation.
87xy-gk8d,Building Permit Addenda with Routing,core,"Station-by-station permit routing with dates, including Planning's review stations: the permit clock decomposed."
88g8-5mnd,Employee Compensation,not relevant,Matches the word 'planning' in its text; nothing to do with land-use regulation.
8iri-b2sz,Housing Balance March 2016,possibly useful,"The 2016 housing balance snapshot by parcel: units added and lost, once."
8je3-gv3q,SFEC Form 3500 - Disclosure Report for Developers of Major City Projects Filings,possibly useful,"Disclosures by developers of major projects, keyed on the planning case number: the political economy of large entitlements."
8jwb-2stv,Parcels - Active and Retired (no geometry),not relevant,The cached parcel layer without its geometry.
8m6w-8yuk,Historic Zoning Districts - 2001,core,A parcel-keyed zoning vintage; one year of the zoning panel.
8vnp-htwm,Historic Special Use Districts - 2011,possibly useful,A dated special-use district vintage; the zoning panel carries only the current SUD layer.
92e4-7ptg,"108"" Inundation Vulnerability Zone Line (Sea Level Rise + 100YR Flood Event)",possibly useful,A sea-level-rise or climate overlay: a long-run cost shifter; check against demand_estimation first.
96ck-qcfe,Existing Buildings Energy Performance Ordinance Report,not relevant,An energy or emissions dataset for existing buildings.
97yj-54sx,Landmarks Listed in Article 10 of the San Francisco Planning Code,possibly useful,Historic status by parcel or district: a regulatory constraint that triggers review.
9d9m-eyy3,Historic Special Use Districts - 2012,not relevant,A map view; the dataset it draws carries the data.
9grn-xjpx,Parcels with overlay attributes,possibly useful,Every parcel with its current overlays pre-joined; a cross-check on the spatial join.
9itm-3rmi,Building Permits with Permit Contacts,possibly useful,"Permits with their architects, engineers and expediters: the repeat players in the permit market."
9mmf-fv7s,Historic Height & Bulk Districts - 2013,core,"A height-and-bulk vintage, joined spatially into the zoning panel."
9xqx-n98b,Historic Zoning Districts - 2012,not relevant,A map view; the dataset it draws carries the data.
a4wu-zqx3,Historic Height & Bulk Districts - 2009,core,"A height-and-bulk vintage, joined spatially into the zoning panel."
a5e9-skih,Cultural Districts Map,not relevant,A map view; the dataset it draws carries the data.
aa26-h926,Existing Commercial Wireless Telecommunication Services Facilities in San Francisco,possibly useful,Wireless facilities: wireless conditional uses are a large share of the CU docket.
aaxw-2cb8,Mayor's Office of Housing and Community Development Affordable Housing Pipeline,possibly useful,Affordable pipeline with planning case numbers; small but the right source for the affordability channel.
abh5-gwaq,Building Permit Completeness Check Review Metrics,possibly useful,DBI's own filing-to-issuance and review-step metrics by permit; a check on the permit clock.
abhw-ffzx,Mid-Block Traffic Calming Areas,not relevant,A transportation dataset; the word 'planning' appears in its text.
acdm-wktn,Parcels – Active and Retired,core,The parcel frame the risk set is built on; cached and joined on blklot.
ada2-cu6t,Historic Zoning Districts - Jan 2015,core,"A polygon zoning vintage, joined spatially into the zoning panel."
aeam-6mb5,[DEPRECATED] Coastal Zone Area,not relevant,Deprecated; replaced by a newer asset.
afkh-hfhr,Historic Zoning Districts - 2006,core,"A polygon zoning vintage, joined spatially into the zoning panel."
ahwu-55yv,Map of Historic Zoning Districts - 2008,not relevant,A map view; the dataset it draws carries the data.
akmp-ztcg,San Andreas M7.8 Earthquake Scenario,possibly useful,A physical-hazard zone: a construction-cost shifter; check against demand_estimation's hazard layers first.
aksh-67x3,Historic Zoning Districts - 2000,not relevant,A map view; the dataset it draws carries the data.
aypm-4d84,Historic Zoning Districts - 1998,not relevant,A map view; the dataset it draws carries the data.
b52k-gy2v,Historic Zoning Districts - 2005,core,A parcel-keyed zoning vintage; one year of the zoning panel.
b6kc-439r,Historic Special Use Districts - 2014,possibly useful,A dated special-use district vintage; the zoning panel carries only the current SUD layer.
b6tj-gt35,Street-Use Permits,not relevant,A Public Works street or right-of-way dataset; not a land-use decision.
b7eg-vqw2,Travel Decision Survey 2021,not relevant,A transportation dataset; the word 'planning' appears in its text.
bk74-rima,SFEC Form 3500 - Disclosure Report for Developers,possibly useful,"Disclosures by developers of major projects, keyed on the planning case number: the political economy of large entitlements."
bkzf-eahq,Planning Areas,possibly useful,"A Planning Department administrative geography (district, area, team boundary), useful only as a grouping."
bmjt-kdwv,Green Benefit Districts,not relevant,A map view; the dataset it draws carries the data.
